iter	Passed	Remaining
760	11141	3499
761	11155	3484
762	11169	3469
763	11182	3454
764	11196	3439
765	11209	3424
766	11222	3409
767	11236	3394
768	11250	3379
769	11264	3364
770	11277	3349
771	11291	3334
772	11305	3319
773	11318	3304
774	11332	3290
775	11346	3275
776	11360	3260
777	11373	3245
778	11387	3230
779	11393	3213
780	11406	3198
781	11421	3183
782	11435	3169
783	11449	3154
784	11462	3139
785	11475	3124
786	11489	3109
787	11503	3094
788	11517	3079
789	11531	3065
790	11546	3050
791	11561	3036
792	11579	3022
793	11594	3008
794	11608	2993
795	11621	2978
796	11636	2963
797	11650	2949
798	11663	2934
799	11676	2919
800	11690	2904
801	11704	2889
802	11718	2874
803	11732	2860
804	11746	2845
805	11760	2830
806	11776	2816
807	11789	2801
808	11802	2786
809	11815	2771
810	11829	2756
811	11844	2742
812	11858	2727
813	11871	2712
814	11885	2697
815	11899	2683
816	11913	2668
817	11926	2653
818	11939	2638
819	11953	2624
820	11969	2609
821	11982	2594
822	11996	2580
823	12009	2565
824	12023	2550
825	12037	2535
826	12051	2521
827	12065	2506
828	12078	2491
829	12092	2476
830	12106	2462
831	12119	2447
832	12132	2432
833	12146	2417
834	12159	2402
835	12172	2387
836	12186	2373
837	12200	2358
838	12213	2343
839	12227	2329
840	12241	2314
841	12255	2299
842	12269	2285
843	12282	2270
844	12295	2255
845	12308	2240
846	12322	2225
847	12336	2211
848	12350	2196
849	12363	2181
850	12377	2167
851	12392	2152
852	12406	2137
853	12419	2123
854	12432	2108
855	12446	2093
856	12459	2079
857	12473	2064
858	12488	2049
859	12502	2035
860	12516	2020
861	12529	2005
862	12541	1990
863	12555	1976
864	12569	1961
865	12584	1947
866	12598	1932
867	12612	1918
868	12626	1903
869	12639	1888
870	12652	1873
871	12666	1859
872	12679	1844
873	12693	1829
874	12707	1815
875	12721	1800
876	12734	1786
877	12748	1771
878	12762	1756
879	12776	1742
880	12790	1727
881	12804	1713
882	12818	1698
883	12832	1683
884	12846	1669
885	12860	1654
886	12874	1640
887	12889	1625
888	12903	1611
889	12917	1596
890	12930	1581
891	12944	1567
892	12959	1552
893	12973	1538
894	12987	1523
895	13001	1509
896	13016	1494
897	13029	1479
898	13042	1465
899	13056	1450
900	13071	1436
901	13085	1421
902	13099	1407
903	13112	1392
904	13125	1377
905	13138	1363
906	13151	1348
907	13165	1333
908	13178	1319
909	13192	1304
910	13207	1290
911	13221	1275
912	13236	1261
913	13249	1246
914	13262	1232
915	13277	1217
916	13290	1202
917	13304	1188
918	13318	1173
919	13332	1159
920	13346	1144
921	13360	1130
922	13374	1115
923	13388	1101
924	13402	1086
925	13417	1072
926	13431	1057
927	13445	1043
928	13458	1028
929	13472	1014
930	13486	999
931	13499	984
932	13513	970
933	13527	955
934	13541	941
935	13554	926
936	13568	912
937	13582	897
938	13595	883
939	13609	868
940	13622	854
941	13636	839
942	13650	825
943	13663	810
944	13676	795
945	13689	781
946	13703	766
947	13716	752
948	13730	737
949	13743	723
950	13756	708
951	13770	694
952	13784	679
953	13799	665
954	13813	650
955	13826	636
956	13841	621
957	13855	607
958	13868	592
959	13881	578
960	13894	563
961	13909	549
962	13922	534
963	13935	520
964	13948	505
965	13961	491
966	13975	476
